cycle number	Ecell/V	<I>/mA	time/s	
1.000000000000000E+000	6.5693192E-002	5.795002024559697E-001	1.398287366415083E+004
1.000000000000000E+000	6.6408478E-002	5.826564699550971E-001	1.398302766415814E+004
1.000000000000000E+000	6.7139901E-002	5.857966489112787E-001	1.398317966416536E+004
1.000000000000000E+000	6.7901023E-002	5.887977945459113E-001	1.398333166417258E+004
1.000000000000000E+000	6.8698943E-002	5.918728343322339E-001	1.398348566417990E+004
1.000000000000000E+000	6.9458768E-002	5.949019939579756E-001	1.398363766418712E+004
1.000000000000000E+000	7.0238285E-002	5.977992592095891E-001	1.398378966419434E+004
1.000000000000000E+000	7.0944764E-002	6.005524409342602E-001	1.398394266420160E+004
1.000000000000000E+000	7.1822166E-002	6.033788010635064E-001	1.398409566420887E+004
1.000000000000000E+000	7.2517760E-002	6.060514315369554E-001	1.398424766421609E+004
1.000000000000000E+000	7.3254988E-002	6.085917107952827E-001	1.398439966422331E+004
1.000000000000000E+000	7.4054204E-002	6.114582254592786E-001	1.398455366423063E+004
1.000000000000000E+000	7.4797563E-002	6.139337128634565E-001	1.398470566423784E+004
1.000000000000000E+000	7.5597100E-002	6.162888037533740E-001	1.398485766424506E+004
1.000000000000000E+000	7.6343365E-002	6.188376601916277E-001	1.398501166425238E+004
1.000000000000000E+000	7.7074781E-002	6.212369763756933E-001	1.398516366425960E+004
1.000000000000000E+000	7.7800073E-002	6.234669748527928E-001	1.398531566426682E+004
1.000000000000000E+000	7.8572817E-002	6.257683739188256E-001	1.398546966427413E+004
1.000000000000000E+000	7.9352655E-002	6.281475599165933E-001	1.398562166428135E+004
1.000000000000000E+000	8.0113128E-002	6.303636221175868E-001	1.398577366428857E+004
1.000000000000000E+000	8.0892801E-002	6.325201826504827E-001	1.398592666429584E+004
1.000000000000000E+000	8.1651829E-002	6.347008052977792E-001	1.398607966430311E+004
1.000000000000000E+000	8.2427152E-002	6.368308048128242E-001	1.398623166431033E+004
1.000000000000000E+000	8.3210856E-002	6.389187070905313E-001	1.398638366431755E+004
1.000000000000000E+000	8.3952285E-002	6.410360727328328E-001	1.398653766432486E+004
1.000000000000000E+000	8.4720507E-002	6.430065548636330E-001	1.398668966433208E+004
1.000000000000000E+000	8.5456766E-002	6.448573773111761E-001	1.398684166433930E+004
